id,name-ja,name,regions,개화시기
1,北海道,홋카이도,0,4.29
2,青森,아오모리,1,4.18
3,岩手,이와테,1,4.15
4,宮城,미야기,1,4.06
5,秋田,아키타,1,4.15
6,山形,야마가타,1,4.10
7,福島,후쿠시마,1,4.04
8,茨城,이바라키,2,3.29
9,栃木,토치기,2,3.27
10,群馬,군마,2,3.28
11,埼玉,사이타마,2,3.25
12,千葉,치바,2,3.30
13,東京,도쿄,2,3.21
14,神奈川,카나가와,2,3.23
15,新潟,니가타,3,4.06
16,富山,토야마,3,4.02
17,石川,이시카와,3,4.02
18,福井,후쿠이,3,4.01
19,山梨,야마나시,3,3.23
20,長野,나가노,3,4.06
21,岐阜,기후,3,3.25
22,静岡,시즈오카,3,3.26
23,愛知,아이치,3,3.25
24,三重,미에,4,3.31
25,滋賀,시가,4,4.01
26,京都,교토,4,3.27
27,大阪,오사카,4,3.28
28,兵庫,효고,4,3.30
29,奈良,나라,4,3.29
30,和歌山,와카야마,4,3.27
31,鳥取,돗토리,5,3.29
32,島根,시마네,5,3.28
33,岡山,오카야마,5,3.28
34,広島,히로시마,5,3.26
35,山口,야마구치,5,3.23
36,徳島,토쿠시마,6,3.31
37,香川,카가와,6,3.29
38,愛媛,에히메,6,3.27
39,高知,고치,6,3.22
40,福岡,후쿠오카,7,3.24
41,佐賀,사가,7,3.26
42,長崎,나가사키,7,3.25
43,熊本,구마모토,7,3.26
44,大分,오이타,7,3.26
45,宮崎,미야자키,7,3.26
46,鹿児島,가고시마,7,3.28